MoS2 F1,,MoS2 F2,,MoS2 F3,,MoS2 F4,,MoS2 F5,,MoS2 F6,,MoS2 F7,
Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext
800,1.65176,800,2.8116,800,3.31032,800,4.68158,800,8.00866,800,10.27176,800,10.62323
799,1.47058,799,2.62322,799,3.31591,799,4.51876,799,7.98047,799,10.29421,799,10.51886
798,1.72737,798,2.99782,798,3.42607,798,4.67561,798,8.02088,798,10.43483,798,10.63763
797,1.54533,797,2.67805,797,3.43352,797,4.5792,797,7.95864,797,10.31088,797,10.85008
796,1.49737,796,3.11324,796,3.6181,796,4.35996,796,8.24203,796,10.40299,796,10.73789
795,1.78138,795,2.67834,795,3.55471,795,4.66994,795,8.15659,795,10.41688,795,10.88566
794,1.28725,794,2.56508,794,3.19767,794,4.52025,794,7.86783,794,10.54853,794,10.90129
793,1.41787,793,2.70712,793,3.41814,793,4.62233,793,8.32423,793,10.62044,793,11.07775
792,1.52675,792,2.73,792,3.41317,792,4.73099,792,8.15597,792,10.69963,792,11.0325
791,1.56564,791,2.53644,791,3.59744,791,4.71845,791,8.36839,791,10.9672,791,11.09286
790,1.79564,790,2.97695,790,3.55798,790,4.90366,790,8.39358,790,10.85329,790,11.15713
789,1.39166,789,2.6202,789,3.51711,789,4.63159,789,8.45932,789,10.97041,789,11.16772
788,1.50789,788,2.81045,788,3.6338,788,4.68323,788,8.60102,788,11.00652,788,11.33616
787,1.64672,787,2.86859,787,3.66005,787,4.68547,787,8.55349,787,11.07684,787,11.42788
786,1.37495,786,2.94846,786,3.54057,786,4.68009,786,8.6453,786,11.09703,786,11.59108
785,1.60654,785,2.75476,785,3.62898,785,4.85128,785,8.67336,785,11.2664,785,11.62357
784,1.75733,784,2.69604,784,3.78994,784,4.94456,784,8.79248,784,11.47766,784,11.99335
783,1.41197,783,2.39742,783,3.52644,783,4.62965,783,8.56559,783,11.44881,783,11.75262
782,1.681,782,2.67316,782,3.67,782,5.02202,782,8.84899,782,11.56101,782,11.94389
781,1.5004,781,2.52637,781,3.5805,781,4.87665,781,8.80471,781,11.57405,781,12.02492
780,1.45316,780,2.62552,780,3.41737,780,4.70308,780,8.75294,780,11.59542,780,12.21269
779,1.50083,779,2.49499,779,3.42141,779,4.95142,779,8.91584,779,11.71895,779,12.0459
778,1.70188,778,2.66769,778,3.61562,778,5.16276,778,8.96649,778,11.91696,778,12.35202
777,1.59415,777,2.85837,777,3.74489,777,4.97665,777,9.02162,777,11.92593,777,12.36786
776,1.51393,776,2.88802,776,3.50158,776,5.1338,776,9.11766,776,12.00276,776,12.52149
775,1.67279,775,2.9735,775,3.99239,775,5.28454,775,9.27919,775,12.21381,775,12.77116
774,1.6483,774,2.83506,774,3.68818,774,5.30409,774,9.29079,774,12.22749,774,12.79121
773,1.62238,773,2.91205,773,3.79833,773,5.31842,773,9.34119,773,12.32537,773,12.87379
772,1.72924,772,2.92702,772,3.97079,772,5.40155,772,9.57519,772,12.50468,772,13.13446
771,1.45503,771,2.77864,771,3.86172,771,5.20723,771,9.38297,771,12.38265,771,13.03595
770,1.5953,770,2.94731,770,3.80766,770,5.26992,770,9.61286,770,12.6063,770,13.28326
769,1.75747,769,2.83938,769,3.94873,769,5.24216,769,9.64628,769,12.67448,769,13.30506
768,1.72492,768,2.97177,768,3.94547,768,5.472,768,9.84486,768,12.79149,768,13.5716
767,1.75502,767,3.17267,767,4.078,767,5.62572,767,9.84012,767,13.01685,767,13.67237
766,1.87614,766,3.1036,766,4.17915,766,5.64796,766,10.03733,766,13.18654,766,13.70785
765,1.74062,765,2.95235,765,4.00498,765,5.65184,765,10.05242,765,13.10084,765,13.79165
764,1.80845,764,2.93824,764,3.97981,764,5.75796,764,10.13387,764,13.217,764,13.97366
763,1.78339,763,3.03927,763,4.13564,763,5.81094,763,10.24825,763,13.41832,763,14.08739
762,1.68431,762,2.87809,762,4.00466,762,5.55408,762,10.18688,762,13.429,762,14.23033
761,1.76554,761,2.96933,761,4.06712,761,5.68288,761,10.23453,761,13.61494,761,14.27393
760,1.87802,760,2.97177,760,4.1445,760,5.89049,760,10.46441,760,13.70769,760,14.42962
759,1.82473,759,3.07294,759,4.25745,759,5.88362,759,10.425,759,13.88112,759,14.65214
758,1.72348,758,2.9109,758,4.12352,758,5.82094,758,10.49036,758,13.91863,758,14.7089
757,1.51321,757,2.85463,757,3.96831,757,5.72646,757,10.47028,757,13.93455,757,14.82654
756,1.67005,756,3.09252,756,4.26848,756,5.92795,756,10.71076,756,14.13758,756,15.0465
755,1.62958,755,3.06848,755,4.20665,755,5.88496,755,10.76415,755,14.22585,755,15.16156
754,1.74681,754,3.10763,754,4.23244,754,5.98586,754,11.00651,754,14.39661,754,15.28671
753,1.86088,753,3.15138,753,4.32954,753,6.02108,753,11.04979,753,14.52697,753,15.47756
752,1.89515,752,3.1,752,4.37398,752,6.23405,752,11.17752,752,14.6084,752,15.63675
751,1.80255,751,3.09208,751,4.32985,751,6.1454,751,11.27556,751,14.73407,751,15.71922
750,1.72348,750,3.08071,750,4.39946,750,6.24868,750,11.33431,750,15.04791,750,15.92292
749,1.92669,749,3.37156,749,4.60828,749,6.38823,749,11.54174,749,15.26654,749,16.18267
748,1.82084,748,3.31572,748,4.48274,748,6.42375,748,11.55696,748,15.34957,748,16.28622
747,1.74797,747,3.19441,747,4.5396,747,6.43733,747,11.76152,747,15.40727,747,16.40129
746,1.86059,746,3.18476,746,4.67043,746,6.63821,746,11.85831,746,15.61693,746,16.61107
745,1.95953,745,3.20218,745,4.52873,745,6.59657,745,12.0181,745,15.66053,745,16.81025
744,1.89141,744,3.28075,744,4.71144,744,6.53747,744,12.05839,744,15.8128,744,16.93591
743,1.83366,743,3.14778,743,4.63236,743,6.55479,743,12.07984,743,16.00429,743,17.07216
742,1.84403,742,3.14015,742,4.58544,742,6.64254,742,12.2839,742,16.15721,742,17.2481
741,1.95103,741,3.33472,741,4.71129,741,6.92372,741,12.40365,741,16.40245,741,17.54148
740,1.94657,740,3.26291,740,4.86806,740,6.97372,740,12.54098,740,16.51486,740,17.73871
739,1.93879,739,3.18649,739,4.90224,739,7.06924,739,12.68106,739,16.7429,739,17.91856
738,1.92626,738,3.20405,738,4.81787,738,7.0979,738,12.75091,738,16.90735,738,18.10396
737,1.99482,737,3.29629,737,4.84801,737,7.12043,737,12.99576,737,17.03986,737,18.29934
736,1.96241,736,3.2678,736,4.86371,736,7.19759,736,13.10515,736,17.28691,736,18.49266
735,2.07215,735,3.33055,735,4.93953,735,7.25087,735,13.22689,735,17.44827,735,18.71971
734,2.0723,734,3.41761,734,5.11463,734,7.40206,734,13.44804,734,17.6825,734,18.96496
733,2.09793,733,3.39401,733,5.16714,733,7.564,733,13.62118,733,17.88692,733,19.26543
732,2.06913,732,3.42049,732,5.28056,732,7.6913,732,13.77323,732,18.14862,732,19.48652
731,2.07979,731,3.42797,731,5.24638,731,7.78055,731,13.87725,731,18.29427,731,19.66144
730,1.91661,730,3.21139,730,5.1774,730,7.59698,730,13.92515,730,18.35988,730,19.84201
729,1.96169,729,3.35026,729,5.29237,729,7.6519,729,14.17898,729,18.64872,729,20.06731
728,2.02376,728,3.40423,728,5.26798,728,7.82204,728,14.33428,728,18.91544,728,20.37467
727,2.04781,727,3.42927,727,5.35732,727,7.91129,727,14.47909,727,19.13994,727,20.59154
726,2.1155,726,3.53231,726,5.43764,726,8.00248,726,14.64362,726,19.30173,726,20.90445
725,2.04191,725,3.45575,725,5.42475,725,8.02114,725,14.73667,725,19.57817,725,21.19022
724,2.05934,724,3.55274,724,5.46204,724,7.99427,724,14.89907,724,19.83891,724,21.43064
723,2.11651,723,3.55447,723,5.58758,723,8.1671,723,15.109,723,20.04258,723,21.66108
722,2.1446,722,3.62499,722,5.68965,722,8.40605,722,15.30296,722,20.30972,722,21.97595
721,2.25563,721,3.70759,721,5.80307,721,8.55783,721,15.59259,721,20.61619,721,22.32352
720,2.27969,720,3.67291,720,5.86678,720,8.60634,720,15.77433,720,20.87137,720,22.63962
719,2.31872,719,3.72817,719,5.96699,719,8.82812,719,16.08828,719,21.15519,719,22.99634
718,2.31123,718,3.76689,718,6.05866,718,8.92692,718,16.20815,718,21.4498,718,23.22226
717,2.26154,717,3.74415,717,6.04965,717,8.92528,717,16.35023,717,21.71951,717,23.49435
716,2.26773,716,3.76314,716,6.06689,716,9.09214,716,16.66019,716,21.9811,716,23.82289
715,2.25765,715,3.69421,715,6.20595,715,9.16318,715,16.81897,715,22.20892,715,24.20779
714,2.32491,714,3.84992,714,6.32589,714,9.4263,714,17.1212,714,22.61594,714,24.59782
713,2.36034,713,3.87669,713,6.38229,713,9.47272,713,17.3239,713,22.94026,713,24.89336
712,2.34882,712,3.87683,712,6.47381,712,9.51674,712,17.58334,712,23.24737,712,25.29687
711,2.43508,711,3.89223,711,6.57464,711,9.72047,711,17.85826,711,23.59028,711,25.72547
710,2.56917,710,4.08435,710,6.7485,710,10.00717,710,18.22472,710,24.07595,710,26.20157
709,2.56268,709,4.25503,709,6.85042,709,10.13239,709,18.48193,709,24.39353,709,26.59027
708,2.63081,708,4.26511,708,6.97752,708,10.3976,708,18.82719,708,24.81755,708,27.01609
707,2.63354,707,4.16048,707,7.01294,707,10.60431,707,19.14576,707,25.19379,707,27.44747
706,2.73148,706,4.27043,706,7.17313,706,10.78191,706,19.45946,706,25.62892,706,27.90764
705,2.7093,705,4.36426,705,7.33254,705,11.01742,705,19.83279,705,26.14387,705,28.4294
704,2.80579,704,4.45982,704,7.47812,704,11.19204,704,20.21847,704,26.54673,704,28.89738
703,2.93382,703,4.54142,703,7.65897,703,11.43323,703,20.59005,703,26.98122,703,29.42809
702,3.00511,702,4.67367,702,7.81791,702,11.71904,702,20.98645,702,27.50407,702,29.95016
701,3.10477,701,4.78376,701,7.99224,701,11.95694,701,21.42888,701,28.08902,701,30.54391
700,3.13703,700,4.74505,700,8.06262,700,12.11723,700,21.78525,700,28.54145,700,31.0594
699,3.19378,699,4.78693,699,8.22079,699,12.38229,699,22.23304,699,29.07938,699,31.62887
698,3.22431,698,4.90595,698,8.5365,698,12.7572,698,22.72886,698,29.70311,698,32.38653
697,3.41859,697,5.09677,697,8.80917,697,13.14733,697,23.30875,697,30.35869,697,33.12845
696,3.51278,696,5.23334,696,9.0312,696,13.43881,696,23.85146,696,30.96255,696,33.7913
695,3.51321,695,5.30544,695,9.24079,695,13.73895,695,24.41102,695,31.61866,695,34.44232
694,3.61993,694,5.50462,694,9.53444,694,14.17609,694,25.06213,694,32.38398,694,35.22877
693,3.79679,693,5.66249,693,9.88713,693,14.70726,693,25.72334,693,33.16223,693,36.07209
692,3.85656,692,5.77042,692,10.2103,692,15.14799,692,26.34389,692,33.93695,692,36.88866
691,4.06294,691,5.95938,691,10.61877,691,15.6714,691,27.08855,691,34.76596,691,37.79172
690,4.30201,690,6.21425,690,10.91009,690,16.1869,690,27.94273,690,35.597,690,38.70578
689,4.44272,689,6.38579,689,11.31902,689,16.70852,689,28.74764,689,36.52752,689,39.62324
688,4.68323,688,6.69419,688,11.93631,688,17.45908,688,29.71981,688,37.53423,688,40.66605
687,4.85375,687,6.97036,687,12.40211,687,18.16562,687,30.6401,687,38.46978,687,41.65754
686,4.97487,686,7.25645,686,12.90349,686,18.88842,686,31.55751,686,39.44294,686,42.61016
685,5.20026,685,7.50801,685,13.44946,685,19.68167,685,32.61251,685,40.44025,685,43.53369
684,5.51581,684,7.83814,684,14.06721,684,20.50387,684,33.76193,684,41.45647,684,44.51747
683,5.76698,683,8.20296,683,14.75938,683,21.39368,683,34.87132,683,42.47088,683,45.47801
682,6.04436,682,8.51798,682,15.51029,682,22.28633,682,35.9777,682,43.403,682,46.31577
681,6.35314,681,8.96094,681,16.21147,681,23.24405,681,37.14783,681,44.20925,681,47.01965
680,6.66119,680,9.42606,680,17.04954,680,24.33266,680,38.32432,680,45.04542,680,47.72784
679,6.96003,679,9.88169,679,17.92489,679,25.42545,679,39.43869,679,45.78819,679,48.30267
678,7.33189,678,10.33731,678,18.76451,678,26.45854,678,40.3848,678,46.3882,678,48.71245
677,7.77043,677,10.86072,677,19.61983,677,27.5067,677,41.20804,677,46.85036,677,48.93621
676,8.124,676,11.36671,676,20.47126,676,28.44143,676,41.96555,676,47.07188,676,48.9831
675,8.49888,675,11.83227,675,21.28104,675,29.2899,675,42.61841,675,47.18387,675,48.92469
674,8.93757,674,12.36603,674,22.05339,674,30.14673,674,43.103,674,47.23452,674,48.74494
673,9.30222,673,12.88714,673,22.72692,673,30.84148,673,43.39325,673,47.11195,673,48.4055
672,9.67034,672,13.33513,672,23.37745,672,31.33877,672,43.47183,672,46.80003,672,48.02297
671,10.12472,671,13.84429,671,23.96149,671,31.78487,671,43.48081,671,46.46353,671,47.58419
670,10.55649,670,14.2435,670,24.38021,670,32.13038,670,43.39949,670,46.09712,670,47.04556
669,10.90747,669,14.59925,669,24.67526,669,32.30962,669,43.2049,669,45.61668,669,46.4986
668,11.25455,668,15.00005,668,25.00045,668,32.41036,668,42.92587,668,45.13464,668,45.97653
667,11.62915,667,15.27722,667,25.25976,667,32.47335,667,42.5493,667,44.64983,667,45.43749
666,11.92525,666,15.47855,666,25.21828,666,32.34574,666,42.10301,666,44.10207,666,44.85486
665,12.17254,665,15.66362,665,25.17042,665,32.12843,665,41.64286,665,43.55966,665,44.32137
664,12.40268,664,15.75832,664,25.09756,664,31.89158,664,41.16201,664,43.03594,664,43.77246
663,12.62908,663,15.86783,663,25.01459,663,31.65696,663,40.76973,663,42.60445,663,43.35209
662,12.77511,662,15.94655,662,24.85673,662,31.37892,662,40.3379,662,42.20544,662,42.93161
661,12.832,661,15.92382,661,24.60581,661,31.00371,661,39.86379,661,41.79126,661,42.45653
660,12.93008,660,15.84812,660,24.43941,660,30.65357,660,39.4332,660,41.41041,660,42.11822
659,12.93569,659,15.71083,659,24.11406,659,30.29852,659,39.04478,659,41.05853,659,41.86125
658,12.94635,658,15.63153,658,23.86765,658,30.03435,658,38.75378,658,40.82782,658,41.63194
657,12.92518,657,15.5318,657,23.66551,657,29.76048,657,38.41637,657,40.60075,657,41.43841
656,12.83171,656,15.37623,656,23.3759,656,29.45587,656,38.13934,656,40.34482,656,41.25311
655,12.76201,655,15.23836,655,23.18153,655,29.16961,655,37.95835,655,40.20548,655,41.07932
654,12.70152,654,15.11949,654,22.96448,654,28.93753,654,37.78622,654,40.14895,654,41.02729
653,12.72687,653,15.04135,653,22.81641,653,28.83186,653,37.70402,653,40.07949,653,41.03583
652,12.64017,652,14.92852,652,22.6048,652,28.64889,652,37.58652,652,40.00074,652,40.97588
651,12.56657,651,14.84361,651,22.51064,651,28.5574,651,37.52727,651,40.04017,651,41.02544
650,12.54022,650,14.79325,650,22.51686,650,28.51874,650,37.52977,650,40.12309,650,41.1256
649,12.48607,649,14.72877,649,22.4502,649,28.46681,649,37.58515,649,40.23807,649,41.25023
648,12.39274,648,14.65797,648,22.34921,648,28.3883,648,37.63093,648,40.37431,648,41.36715
647,12.38108,647,14.64617,647,22.28846,647,28.3989,647,37.72073,647,40.55608,647,41.56859
646,12.36264,646,14.63005,646,22.34051,646,28.52994,646,37.88052,646,40.72492,646,41.7906
645,12.33729,645,14.57119,645,22.42566,645,28.6065,645,38.03993,645,40.94814,645,42.06321
644,12.38338,644,14.56126,644,22.47926,644,28.68411,644,38.27555,644,41.2201,644,42.36975
643,12.38684,643,14.62271,643,22.58258,643,28.81694,643,38.56992,643,41.48521,643,42.60975
642,12.39937,642,14.69092,642,22.68373,642,29.04066,642,38.81128,642,41.80782,642,42.9093
641,12.43897,641,14.76346,641,22.79031,641,29.25274,641,39.09106,641,42.12134,641,43.19095
640,12.48592,640,14.83009,640,22.89301,640,29.40453,640,39.44505,640,42.38913,640,43.52135
639,12.48693,639,14.9137,639,23.07137,639,29.55437,639,39.74055,639,42.73546,639,43.89771
638,12.6465,638,15.05056,638,23.32758,638,29.92614,638,40.11712,638,43.14697,638,44.29618
637,12.7705,637,15.1949,637,23.52319,637,30.26777,637,40.55032,637,43.52097,637,44.69608
636,12.84136,636,15.30341,636,23.68074,636,30.53522,636,40.9002,636,43.87703,636,45.02021
635,12.93627,635,15.38386,635,23.90664,635,30.85521,635,41.29997,635,44.25103,635,45.38258
634,13.02499,634,15.53712,634,24.15244,634,31.1534,634,41.73966,634,44.64983,634,45.72172
633,13.25283,633,15.72853,633,24.49612,633,31.52622,633,42.22337,633,45.06839,633,46.1389
632,13.48599,632,15.92238,632,24.81929,632,32.00053,632,42.69462,632,45.48899,632,46.54755
631,13.57341,631,16.09291,631,25.11138,631,32.3923,631,43.15289,631,45.86342,631,46.86232
630,13.80111,630,16.33857,630,25.44092,630,32.85527,630,43.68949,630,46.25431,630,47.24382
629,13.99525,629,16.52882,629,25.76813,629,33.25928,629,44.17171,629,46.6281,629,47.58594
628,14.19227,628,16.77923,628,26.16215,628,33.67284,628,44.64508,628,46.99248,628,47.88846
627,14.44992,627,16.99653,627,26.57575,627,34.20193,627,45.14239,627,47.38829,627,48.26606
626,14.73508,626,17.25126,626,26.97116,626,34.68832,626,45.62162,626,47.76539,626,48.59933
625,14.94995,625,17.56153,625,27.4191,625,35.20531,625,46.11432,625,48.09003,625,48.87852
624,15.14654,624,17.81927,624,27.78282,624,35.65216,624,46.55825,624,48.43304,624,49.0885
623,15.39512,623,18.09227,623,28.2236,623,36.12975,623,46.99444,623,48.68683,623,49.34938
622,15.68272,622,18.36974,622,28.66858,622,36.63809,622,47.50136,622,48.97556,622,49.58353
621,15.96255,621,18.69325,621,29.08218,621,37.19896,621,47.94803,621,49.25564,621,49.75772
620,16.22913,620,18.9792,620,29.51053,620,37.6761,620,48.35566,620,49.46711,620,49.89675
619,16.52279,619,19.27019,619,30.02729,619,38.19981,619,48.73423,619,49.63274,619,50.0149
618,16.81616,618,19.60263,618,30.52821,618,38.69591,618,49.15021,618,49.80478,618,50.08986
617,17.1464,617,19.94398,617,30.96371,617,39.15275,617,49.46429,617,49.93793,617,50.17933
616,17.38028,616,20.2331,616,31.32681,616,39.53423,616,49.66624,616,49.99371,616,50.1602
