MoS2 F1,,MoS2 F2,,MoS2 F3,,MoS2 F4,,MoS2 F5,,MoS2 F6,,MoS2 F7,
433,80.79211,433,82.14444,433,94.52516,433,91.78282,433,74.75044,433,63.3181,433,59.88325
432,81.1042,432,82.21394,432,94.40645,432,91.6376,432,74.55474,432,63.20611,432,59.7687
431,81.38086,431,82.36016,431,94.35301,431,91.52298,431,74.41915,431,63.15065,431,59.70597
430,81.6977,430,82.44406,430,94.28915,430,91.34135,430,74.31101,430,63.08472,430,59.63255
429,82.07993,429,82.57502,429,94.21317,429,91.17867,429,74.20473,429,63.01013,429,59.5506
428,82.46533,428,82.72843,428,94.16967,428,91.08106,428,74.12802,428,62.90787,428,59.48674
427,82.75034,427,82.80067,427,94.10271,427,90.93122,427,73.97547,427,62.82911,427,59.37363
426,82.99661,426,82.93638,426,94.02937,426,90.83749,426,73.87569,426,62.765,426,59.2709
425,83.24361,425,83.16606,425,93.98618,425,90.79182,425,73.83477,425,62.69009,425,59.26277
424,83.56578,424,83.34279,424,94.02191,424,90.75167,424,73.68671,424,62.62085,424,59.2091
423,83.90523,423,83.53059,423,94.07676,423,90.65362,423,73.61275,423,62.58494,423,59.16478
422,84.18348,422,83.72588,422,94.0578,422,90.60839,422,73.6019,422,62.51848,422,59.1001
421,84.44171,421,83.89224,421,93.99643,421,90.56004,421,73.49737,421,62.46056,421,59.02626
420,84.73824,420,84.08149,420,94.02067,420,90.44646,420,73.41043,420,62.41664,420,58.96518
419,85.00281,419,84.25504,419,94.03496,419,90.35393,419,73.33447,419,62.36353,419,58.9478
418,85.27875,418,84.43637,418,93.97608,418,90.3599,418,73.22782,418,62.30626,418,58.90132
417,85.65392,417,84.65958,417,94.02953,417,90.32721,417,73.15747,417,62.24438,417,58.81289
416,86.02218,416,84.90567,416,94.15942,416,90.31453,416,73.0724,416,62.21521,416,58.77998
415,86.36624,415,85.1034,415,94.22343,415,90.32363,415,72.94829,415,62.16616,415,58.74996
414,86.68697,414,85.33942,414,94.22576,414,90.26319,414,72.91237,414,62.12139,414,58.72939
413,87.00108,413,85.58651,413,94.2632,413,90.12051,413,72.85225,413,62.03665,413,58.72343
412,87.25124,412,85.78353,412,94.23368,412,90.00111,412,72.74822,412,61.93428,412,58.62707
411,87.55555,411,86.03019,411,94.22762,411,89.94813,411,72.65853,411,61.87498,411,58.53041
410,87.93951,410,86.3219,410,94.2994,410,89.87932,410,72.60752,410,61.88481,410,58.48609
409,88.2817,409,86.53086,409,94.29692,409,89.8047,409,72.52644,409,61.84025,409,58.46964
408,88.58616,408,86.67175,408,94.20339,408,89.62113,408,72.36616,408,61.70956,408,58.37226
407,88.91884,407,86.88359,407,94.21084,407,89.4777,407,72.22483,407,61.60462,407,58.2757
406,89.25772,406,87.04736,406,94.22063,406,89.38352,406,72.09798,406,61.53431,406,58.21421
405,89.5845,405,87.19933,405,94.16874,405,89.30054,405,72.02027,405,61.45363,405,58.10747
404,89.95002,404,87.45204,404,94.18319,404,89.20219,404,71.94244,404,61.34293,404,57.98037
403,90.19068,403,87.61221,403,94.09152,403,89.00996,403,71.74748,403,61.23842,403,57.8615
402,90.44646,402,87.72043,402,93.95992,402,88.87444,402,71.54491,402,61.15742,402,57.78232
401,90.8019,401,87.9104,401,93.78808,401,88.71191,401,71.3885,401,61.01199,401,57.67137
400,91.03579,400,87.97401,400,93.58424,400,88.44685,400,71.19366,400,60.81975,400,57.50344
399,91.24634,399,87.96005,399,93.50469,399,88.19477,399,70.98136,399,60.67752,399,57.39187
398,91.42968,398,88.0569,398,93.39966,398,87.96717,398,70.84416,398,60.57996,398,57.31249
397,91.56851,397,88.06971,397,93.1363,397,87.72449,397,70.6149,397,60.36229,397,57.1567
396,91.6905,396,88.02884,396,92.83131,396,87.37525,396,70.32913,396,60.19046,396,56.9678
395,91.77662,395,88.01747,395,92.58536,395,87.08736,395,70.15313,395,60.03722,395,56.80594
394,91.82329,394,87.88233,394,92.26825,394,86.78856,394,69.91252,394,59.82703,394,56.62188
393,91.79578,393,87.72979,393,91.85062,393,86.41709,393,69.57038,393,59.6037,393,56.39184
392,91.75315,392,87.584,392,91.44976,392,86.05218,392,69.28848,392,59.39639,392,56.18258
391,91.66342,391,87.37231,391,91.06211,391,85.62861,391,68.9497,391,59.17445,391,55.96427
390,91.5701,390,87.14824,390,90.68208,390,85.23117,390,68.69911,390,58.90004,390,55.81003
389,91.43198,389,86.85581,389,90.28992,389,84.79716,389,68.39676,389,58.65405,389,55.53958
388,91.18456,388,86.53057,388,89.78979,388,84.30643,388,68.02605,388,58.41052,388,55.23736
387,90.9102,387,86.16144,387,89.23139,387,83.83959,387,67.73953,387,58.13963,387,55.03479
386,90.52567,386,85.76611,386,88.72876,386,83.36095,386,67.38641,386,57.83765,386,54.76907
385,90.19039,385,85.36187,385,88.17534,385,82.88575,385,66.97716,385,57.56131,385,54.50798
384,89.71988,384,84.86883,384,87.53894,384,82.29279,384,66.56292,384,57.29823,384,54.20319
383,89.2341,383,84.26684,383,87.05061,383,81.71416,383,66.20182,383,56.99048,383,53.91661
382,88.71304,382,83.68861,382,86.41763,382,81.19926,382,65.8119,382,56.62748,382,53.67536
381,88.09447,381,83.10073,381,85.84758,381,80.66182,381,65.39641,381,56.27581,381,53.33489
380,87.58565,380,82.52796,380,85.19472,380,80.06095,380,65.02845,380,56.00278,380,53.00892
379,86.98797,379,82.00441,379,84.45562,379,79.53008,379,64.59487,379,55.65785,379,52.75904
378,86.11809,378,81.25463,378,84.01002,378,78.85458,378,64.18512,378,55.263,378,52.41918
377,85.24951,377,80.33935,377,83.16698,377,78.06492,377,63.73271,377,54.91999,377,52.04036
376,84.61323,376,79.76673,376,82.46207,376,77.60165,376,63.29939,376,54.77701,376,51.76765
375,83.9506,375,79.22058,375,81.94111,375,77.25719,375,62.98057,375,54.46071,375,51.54523
374,83.23986,374,78.56823,374,81.34542,374,76.74498,374,62.66112,374,54.08628,374,51.25668
373,82.61712,373,77.97258,373,80.68727,373,76.23888,373,62.23541,373,53.72061,373,50.90089
372,81.88046,372,77.30397,372,79.9084,372,75.5701,372,61.77589,372,53.51897,372,50.5962
371,81.01634,371,76.58067,371,79.31551,371,74.84372,371,61.50833,371,53.16997,371,50.30992
370,80.35385,370,75.94516,370,78.81817,370,74.46687,370,61.13251,370,52.9337,370,50.12339
369,79.57528,369,75.27856,369,78.26381,369,74.07017,369,60.84001,369,52.69381,369,49.92585
368,78.69921,368,74.59052,368,77.67931,368,73.54571,368,60.35704,368,52.27097,368,49.57828
367,77.86448,367,74.06294,367,77.0701,367,73.09275,367,60.06005,367,52.01857,367,49.31617
366,77.06834,366,73.38108,366,76.4205,366,72.48487,366,59.78127,366,51.72823,366,49.08603
365,76.37286,365,72.65649,365,75.80026,365,71.97877,365,59.3911,365,51.51035,365,48.83101
364,75.58407,364,72.11668,364,75.41743,364,71.61699,364,59.12405,364,51.2042,364,48.54843
363,74.97544,363,71.54204,363,74.93858,363,71.10254,363,58.86672,363,50.88416,363,48.36169
362,74.30878,362,70.9792,362,74.417,362,70.77166,362,58.5514,362,50.73723,362,48.13762
361,73.58609,361,70.42054,361,73.88004,361,70.37018,361,58.18268,361,50.5249,361,47.85597
360,72.88154,360,69.77207,360,73.31558,360,69.89513,360,57.92099,360,50.22239,360,47.64743
359,72.17282,359,69.24593,359,73.0036,359,69.56932,359,57.72291,359,49.98601,359,47.42161
358,71.51566,358,68.80441,358,72.62434,358,69.37784,358,57.53818,358,49.83876,358,47.29061
357,70.99834,357,68.33252,357,72.32059,357,68.95711,357,57.29034,357,49.74355,357,47.18716
356,70.37819,356,67.62376,356,71.76779,356,68.62683,356,57.0602,356,49.51317,356,46.927
355,69.80039,355,67.31449,355,71.34689,355,68.38311,355,56.86549,355,49.32542,355,46.85635
354,69.28264,354,66.9042,354,71.22679,354,68.2061,354,56.70895,354,49.22465,354,46.81553
353,68.94563,353,66.54989,353,70.98969,353,67.88298,353,56.59283,353,49.25275,353,46.67187
352,68.59638,352,66.3169,352,70.9016,352,67.81761,352,56.53071,352,49.18821,352,46.59249
351,68.25607,351,65.97698,351,70.57035,351,67.78477,351,56.49965,351,49.09343,351,46.46498
350,67.96615,350,65.82947,350,70.47014,350,67.77209,350,56.48605,350,49.06607,350,46.55485
349,67.52776,349,65.62382,349,70.50105,349,67.63314,349,56.42444,349,49.04331,349,46.53377
348,67.37092,348,65.48883,348,70.48412,348,67.63374,348,56.55528,348,49.00751,348,46.64483
347,67.23281,347,65.42407,347,70.46641,347,67.73851,347,56.57661,347,49.06137,347,46.59897
346,67.26521,346,65.55215,346,70.64197,346,67.80865,346,56.62426,346,49.20584,346,46.66869
345,67.50083,345,65.668,345,70.83759,345,68.03775,345,56.8963,345,49.41112,345,46.81861
344,67.51508,344,65.80285,344,71.15299,344,68.17237,344,56.94744,344,49.48506,344,46.87188
343,67.57557,343,66.01094,343,71.28598,343,68.50235,343,57.08852,343,49.60848,343,46.9999
342,67.5714,342,66.08376,342,71.3155,342,68.52205,342,57.23695,342,49.50772,342,46.99898
341,67.80773,341,66.42987,341,71.60278,341,68.72205,341,57.43266,341,49.71951,341,47.10767
340,68.08281,340,66.72445,340,71.79902,340,68.90353,340,57.43428,340,49.82615,340,47.12279
339,68.41002,339,66.95658,339,72.04341,339,69.088,339,57.63099,339,50.01433,339,47.39128
338,68.87218,338,67.25362,338,72.5813,338,69.43037,338,57.73115,338,50.12322,338,47.55138
337,69.24462,337,67.46171,337,72.6259,337,69.54186,337,57.80449,337,50.02416,337,47.54707
336,69.51249,336,67.9018,336,72.87558,336,69.8014,336,58.01392,336,50.17248,336,47.63776
335,69.90595,335,68.34504,335,72.99335,335,69.94692,335,58.22572,335,50.45021,335,47.76075
334,70.24397,334,68.58034,334,73.21149,334,70.00856,334,58.0582,334,50.38898,334,47.80764
333,70.59393,333,68.65546,333,73.47328,333,70.07184,333,58.25366,333,50.3956,333,47.75088
332,70.91827,332,68.82369,332,73.62617,332,70.15004,332,58.18243,332,50.3925,332,47.84589
331,71.34601,331,69.23787,331,73.85068,331,70.35496,331,58.30542,331,50.64394,331,47.98811
330,71.80111,330,69.58239,330,74.0177,330,70.6042,330,58.37178,330,50.69684,330,48.00991
329,72.27565,329,69.80272,329,74.09787,329,70.77136,329,58.56998,329,50.79515,329,47.98348
328,72.55649,328,70.06479,328,74.26754,328,70.79464,328,58.52907,328,50.79739,328,47.9841
327,72.87175,327,70.41593,327,74.28183,327,70.87732,327,58.70195,327,50.9128,327,48.14647
326,73.21264,326,70.68735,326,74.71562,326,71.11672,326,58.79251,326,50.91697,326,48.38308
325,73.76352,325,71.00323,325,75.07733,325,71.4279,325,58.9811,325,50.86012,325,48.49043
324,73.95622,324,71.32473,324,75.18608,324,71.36029,324,58.91549,324,51.21286,324,48.55974
323,74.47339,323,71.50347,323,75.30556,323,71.38178,323,58.97699,323,51.14628,323,48.48426
322,74.82739,322,71.82526,322,75.05153,322,71.3873,322,58.83255,322,51.18475,322,48.45054
321,75.48484,321,72.50207,321,75.47197,321,71.72669,321,59.13989,321,51.30251,321,48.60478
320,76.09678,320,72.49387,320,75.55524,320,71.75549,320,59.19066,320,51.17492,320,48.60848
319,76.4142,319,72.77723,319,75.9432,319,71.67192,319,59.02202,319,51.27366,319,48.61589
318,77.04544,318,73.11701,318,76.16523,318,72.19309,318,59.17145,318,51.57008,318,48.65373
317,77.05076,317,73.34295,317,76.26078,317,72.01414,317,59.34757,317,51.58772,317,48.49126
316,77.84878,316,73.87902,316,76.77552,316,72.43009,316,59.6836,316,51.90754,316,48.87338
315,78.34075,315,74.08121,315,76.80395,315,72.58322,315,59.64307,315,51.72311,315,48.90834
314,78.82235,314,74.50072,314,76.83083,314,72.53039,314,59.8273,314,51.76596,314,48.87965
313,79.28609,313,74.95332,313,77.1105,313,72.61486,313,59.69059,313,51.90038,313,49.11534
312,80.07402,312,75.17782,312,77.16332,312,72.5977,312,59.72327,312,51.9442,312,49.2048
311,80.62548,311,75.5517,311,77.19253,311,72.88783,311,59.79724,311,51.96674,311,49.04397
310,81.32325,310,75.53904,310,77.62384,310,72.81276,310,59.77815,310,52.08984,310,49.02042
309,81.83826,309,76.44093,309,77.96736,309,73.29677,309,60.16059,309,52.34278,309,49.46023
308,82.59192,308,76.71221,308,78.04629,308,73.49154,308,60.30652,308,52.35774,308,49.29128
307,82.89292,307,76.88447,307,78.13283,307,73.55079,307,60.20799,307,52.36778,307,49.50085
306,83.51667,306,77.46501,306,78.39883,306,73.71183,306,60.33896,306,52.47507,306,49.5755
305,84.05818,305,77.58618,305,78.79145,305,73.73406,305,60.55624,305,52.59977,305,49.70507
304,84.87261,304,78.39352,304,79.0938,304,74.19569,304,60.79511,304,52.81819,304,49.95454
303,85.29041,303,78.39611,303,79.27278,303,74.40254,303,60.64181,303,52.7483,303,49.94744
302,85.63707,302,78.99579,302,79.35,302,74.47746,302,60.80222,302,52.88562,302,49.95793
301,86.27925,301,79.18072,301,79.35622,301,74.60492,301,60.91959,301,52.90774,301,50.10992
300,87.08519,300,79.65692,300,80.1152,300,74.87446,300,61.08711,300,53.17659,300,50.2511
299,87.30683,299,80.1255,299,79.94212,299,74.91043,299,61.28606,299,53.15394,299,50.27578
298,87.91416,298,80.33187,298,80.25131,298,75.00819,298,61.25562,298,53.31893,298,50.34807
297,88.29711,297,80.83628,297,80.69473,297,75.18161,297,61.28057,297,53.40239,297,50.49275
296,88.59005,296,80.97803,296,80.753,296,75.41578,296,61.48663,296,53.39234,296,50.38201
295,89.27803,295,81.59613,295,81.2463,295,75.60756,295,61.76067,295,53.62187,295,50.90562
294,89.62353,294,81.79329,294,81.45853,294,75.58786,294,61.79984,294,53.55754,294,50.73132
293,90.36797,293,82.31713,293,81.61545,293,75.98232,293,61.98868,293,53.83228,293,50.93914
292,90.71808,292,82.48493,292,81.82909,292,76.06605,292,62.05504,292,53.85803,292,50.88423
291,90.66954,291,82.57574,291,81.97793,291,76.09829,291,61.9555,291,53.70458,291,51.02727
290,91.55195,290,83.22723,290,82.34336,290,76.26977,290,62.36588,290,54.12379,290,51.07951
289,91.8904,289,83.80129,289,82.40318,289,76.40604,289,62.4946,289,54.11716,289,51.34214
288,92.65241,288,84.10063,288,83.09815,288,76.98347,288,62.42201,288,54.3203,288,51.43869
287,93.40765,287,84.72635,287,82.97261,287,77.16496,287,62.8809,287,54.62602,287,51.55253
286,93.7893,286,84.87645,286,83.24327,286,77.2763,286,62.84149,286,54.6647,286,51.5769
285,93.84302,285,85.08311,285,83.55882,285,77.33495,285,62.77925,285,54.69986,285,51.6168
284,94.67026,284,85.58795,284,83.82793,284,77.80508,284,63.08983,284,54.92277,284,51.83038
283,95.17721,283,86.05451,283,84.18916,283,77.88194,283,63.15607,283,55.00088,283,52.11275
282,95.63404,282,86.51762,282,84.16788,282,77.74254,282,63.2914,282,54.93025,282,51.93146
281,95.92612,281,86.6611,281,84.58396,281,78.01582,281,63.3282,281,55.2255,281,52.03984
280,96.87146,280,87.2874,280,84.75486,280,78.23834,280,63.36774,280,55.36783,280,52.11378
279,97.38374,279,87.55479,279,84.68728,279,78.19984,279,63.62232,279,55.29944,279,52.14473
278,97.83149,278,87.86305,278,84.808,278,78.13656,278,63.54449,278,55.13691,278,52.11337
277,98.54857,277,88.18527,277,85.23076,277,78.55072,277,63.67533,277,55.54853,277,52.45836
276,98.69072,276,88.61412,276,85.28685,276,78.32476,276,63.82813,276,55.50771,276,52.46145
275,99.25729,275,88.60016,275,85.08378,275,78.28968,275,63.76926,275,55.57353,275,52.42679
274,99.34111,274,88.86669,274,84.93587,274,78.29506,274,63.56794,274,55.2552,274,52.50885
273,99.82386,273,89.06629,273,84.99087,273,78.10178,273,63.5032,273,55.24527,273,52.22463
272,100.35515,272,89.13998,272,85.17685,272,78.14357,272,63.43697,272,55.42351,272,52.45949
271,100.64376,271,89.26245,271,84.78547,271,78.02731,271,63.4124,271,55.36121,271,52.38227
270,101.35465,270,89.23338,270,84.94224,270,78.30774,270,63.56794,270,55.42158,270,52.4017
269,101.29848,269,89.34635,269,84.81888,269,77.68777,269,63.09931,269,55.263,269,52.07141
268,101.22906,268,89.54725,268,84.31548,268,77.45554,268,63.00452,268,54.78577,268,52.06555
267,101.4363,267,89.52393,267,84.29186,267,77.52554,267,63.21394,267,55.22475,267,52.1217
266,102.18535,266,89.4255,266,84.21371,266,77.51987,266,63.07836,266,55.03753,266,51.98863
265,102.2817,265,89.57905,265,83.86475,265,77.00676,265,62.84224,265,54.92822,265,51.9257
264,102.27551,264,89.46565,264,83.72538,264,76.96467,264,62.78299,264,54.84123,264,51.75037
263,102.13509,263,89.29152,263,83.68467,263,76.78617,263,62.62171,263,54.71236,263,51.69752
262,102.59249,262,88.93505,262,83.31163,262,76.39768,262,62.32035,262,54.66855,262,51.63603
261,102.79542,261,88.77876,261,82.93315,261,76.05993,261,61.98943,261,54.32115,261,51.55479
260,102.59293,260,88.78523,260,82.71035,260,75.75636,260,61.93156,260,54.297,260,51.36095
259,102.74861,259,88.73789,259,82.56181,259,75.70487,259,61.85123,259,54.20917,259,51.4498
258,102.91467,258,88.23074,258,82.02423,258,75.3131,258,61.66138,258,54.08382,258,50.99477
257,102.90732,257,88.20513,257,81.72095,257,75.22982,257,61.53091,257,54.02751,257,51.09925
256,102.79801,256,87.64215,256,81.42202,256,74.69656,256,61.30751,256,53.9184,256,50.79662
255,102.55995,255,87.6715,255,81.10926,255,74.44791,255,60.9368,255,53.58917,255,50.75528
254,102.44142,254,87.11888,254,80.54527,254,73.92615,254,60.67212,254,53.4524,254,50.5453
253,102.4574,253,86.75335,253,79.93761,253,73.56273,253,60.58244,253,53.21175,253,50.32565
252,102.49571,252,86.62052,252,79.54701,252,73.2308,252,60.31314,252,53.27277,252,50.233
251,102.46057,251,86.03998,251,79.13684,251,72.82097,251,59.97386,251,52.93435,251,50.00462
250,102.40095,250,85.76899,250,79.08246,250,72.62605,250,59.89353,250,52.67671,250,49.91084
